Name,Product_URL,Colors,Size,Image Url
Casual Cap Sleeves Solid Women Yellow Top,https://www.flipkart.com/vkf-casual-solid-women-yellow-top/p/itm07c6bfce655fb?pid=TOPGSZ4TVUYXXUPF&lid=LSTTOPGSZ4TVUYXXUPFGMQ9CZ&marketplace=FLIPKART&q=tops+for+women+wear&store=clo%2Fash%2Fohw%2F36j&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=en_X5JcuG1KDYCoOy9IkYSHId51s8d9fYsCfm72lfe2rng4oiCDEOAjpLHcp_Ff7jd0JMYQf_f5-m39c6jArImrDA%3D%3D&ppt=None&ppn=None&ssid=d3u54th4z40000001692719369778&qH=26c2838b3aeb0a75,[],"['S', 'M', 'L', 'XL']","['https://rukminim2.flixcart.com/image/128/128/xif0q/t-shirt/y/j/s/m-vkf5004-vkf-original-imagsz2kxqpykbu6.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/t-shirt/3/j/j/m-vkf5004-vkf-original-imagsz2kfzhfhash.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/t-shirt/y/y/f/m-vkf5004-vkf-original-imagsz2kgyhzmtks.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/t-shirt/e/t/h/m-vkf5004-vkf-original-imagsz2k4ahcmzgh.jpeg?q=70']"
Casual Puff Sleeves Solid Women Black Top,https://www.flipkart.com/fashion2wear-casual-solid-women-black-top/p/itma9d09e82181dd?pid=TOPGS34QGATGTUCV&lid=LSTTOPGS34QGATGTUCVUFK8JD&marketplace=FLIPKART&q=tops+for+women+wear&store=clo%2Fash%2Fohw%2F36j&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=en_X5JcuG1KDYCoOy9IkYSHId51s8d9fYsCfm72lfe2rniCMmfYYqLx8gNHI8gOgVvBcbUwBbbGAuQy0UVVvl3rvA%3D%3D&ppt=None&ppn=None&ssid=d3u54th4z40000001692719369778&qH=26c2838b3aeb0a75,"['Black', 'Maroon']","['S', 'M', 'L', 'XL']","['https://rukminim2.flixcart.com/image/128/128/xif0q/top/o/b/v/m-vt871-pleriza-original-imagrvh7eqrfbmje.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/w/n/e/m-vt871-pleriza-original-imagrvh7jd5mfq2t.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/q/s/b/m-vt871-pleriza-original-imagrvh7gphgdwcb.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/h/w/r/m-vt871-pleriza-original-imagrvh7k42sfehy.jpeg?q=70']"
Casual Regular Sleeves Printed Women Black Top,https://www.flipkart.com/dream-beauty-fashion-casual-printed-women-black-top/p/itm53c33699af834?pid=TOPGHMRWUFW4ZZF7&lid=LSTTOPGHMRWUFW4ZZF7HCBVLM&marketplace=FLIPKART&q=tops+for+women+wear&store=clo%2Fash%2Fohw%2F36j&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=631dda1d-960a-4a19-83c0-b8ad0980b8e8.TOPGHMRWUFW4ZZF7.SEARCH&ppt=None&ppn=None&ssid=d3u54th4z40000001692719369778&qH=26c2838b3aeb0a75,[],"['XS', 'S', 'M', 'L', 'XL']","['https://rukminim2.flixcart.com/image/128/128/xif0q/top/z/k/6/s-flipkart-sania-multi-dream-beauty-fashion-original-imaghmrwuzbacbgv.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/a/c/i/s-flipkart-sania-multi-dream-beauty-fashion-original-imaghmrwzxbdbsyj.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/r/m/x/s-flipkart-sania-multi-dream-beauty-fashion-original-imaghmrwe43jmywe.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/b/a/n/s-flipkart-sania-multi-dream-beauty-fashion-original-imaghmrwzzkhc4ph.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/y/w/r/s-flipkart-sania-multi-dream-beauty-fashion-original-imaghmrw8agbchhz.jpeg?q=70']"
Casual Regular Sleeves Floral Print Women White Top,https://www.flipkart.com/pretty-loving-thing-casual-full-sleeve-floral-print-women-white-top/p/itmbd5d50e6f1bfb?pid=TOPFXT67TTN3FZHQ&lid=LSTTOPFXT67TTN3FZHQGHEXXD&marketplace=FLIPKART&q=tops+for+women+wear&store=clo%2Fash%2Fohw%2F36j&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=631dda1d-960a-4a19-83c0-b8ad0980b8e8.TOPFXT67TTN3FZHQ.SEARCH&ppt=None&ppn=None&ssid=d3u54th4z40000001692719369778&qH=26c2838b3aeb0a75,"['Pink', 'White']","['XS', 'S', 'M', 'L', 'XL', 'XXL']","['https://rukminim2.flixcart.com/image/128/128/kqfj1jk0/top/d/0/m/s-plt216whiteshirt-pretty-loving-thing-original-imag4fx8a85enrmg.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/kqfj1jk0/top/7/w/g/s-plt216whiteshirt-pretty-loving-thing-original-imag4fx8ezv9tzh9.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/kqfj1jk0/top/c/g/s/s-plt216whiteshirt-pretty-loving-thing-original-imag4fx898wzybqc.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/kqfj1jk0/top/y/8/q/s-plt216whiteshirt-pretty-loving-thing-original-imag4fx8u7yhaefg.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/kqfj1jk0/top/n/d/p/s-plt216whiteshirt-pretty-loving-thing-original-imag4fx8mtdwayff.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/kqfj1jk0/top/t/t/n/s-plt216whiteshirt-pretty-loving-thing-original-imag4fx8ughsef35.jpeg?q=70']"
Casual Regular Sleeves Printed Women Multicolor Top,https://www.flipkart.com/god-bless-casual-printed-women-multicolor-top/p/itm02bb6ac018c06?pid=TOPGKDHBMACH7WF6&lid=LSTTOPGKDHBMACH7WF6JHTIOI&marketplace=FLIPKART&q=tops+for+women+wear&store=clo%2Fash%2Fohw%2F36j&spotlightTagId=BestsellerId_clo%2Fash%2Fohw%2F36j&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=631dda1d-960a-4a19-83c0-b8ad0980b8e8.TOPGKDHBMACH7WF6.SEARCH&ppt=None&ppn=None&ssid=d3u54th4z40000001692719369778&qH=26c2838b3aeb0a75,"['Black', 'Blue', 'Light Yellow']","['XS', 'S', 'M', 'L', 'XL', 'XXL']","['https://rukminim2.flixcart.com/image/128/128/xif0q/top/a/d/m/xxl-gbk1367-god-bless-original-imagkdhbzqjfkj5d.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/b/k/j/xxl-gbk1367-god-bless-original-imagkdhb4ag33juy.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/d/t/y/xxl-gbk1367-god-bless-original-imagkdhb9vgebxz6.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/y/4/5/xxl-gbk1367-god-bless-original-imagkdhbj9gegfqv.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/m/a/4/xxl-gbk1367-god-bless-original-imagkdhb4vm94ass.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/k/s/3/xxl-gbk1367-god-bless-original-imagkdhbppgqbhec.jpeg?q=70']"
Casual Regular Sleeves Solid Women Pink Top,https://www.flipkart.com/fab-star-casual-3-4-sleeve-solid-women-pink-top/p/itm37cd1a6030668?pid=TOPFZNZYYDUHZ8E8&lid=LSTTOPFZNZYYDUHZ8E8K6HJYG&marketplace=FLIPKART&q=tops+for+women+wear&store=clo%2Fash%2Fohw%2F36j&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=631dda1d-960a-4a19-83c0-b8ad0980b8e8.TOPFZNZYYDUHZ8E8.SEARCH&ppt=None&ppn=None&ssid=d3u54th4z40000001692719369778&qH=26c2838b3aeb0a75,"['Blue', 'Maroon', 'Pink']","['S', 'M', 'L', 'XL', 'XXL']","['https://rukminim2.flixcart.com/image/128/128/klphn680/top/n/5/x/xl-regular-top-fab-star-original-imagyry2geb5ztzq.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/klphn680/top/i/y/j/xl-regular-top-fab-star-original-imagyry2fm84svc2.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/klphn680/top/0/h/d/xl-regular-top-fab-star-original-imagyry2a7esubfg.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/klphn680/top/b/x/m/xl-regular-top-fab-star-original-imagyry24agtgy7s.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/klphn680/top/b/p/7/xl-regular-top-fab-star-original-imagyry2zzjgdxfy.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/klphn680/top/c/w/v/xl-regular-top-fab-star-original-imagyry2vuckngxj.jpeg?q=70']"
Casual Roll Up Sleeves Checkered Women Multicolor Top,https://www.flipkart.com/samani-casual-checkered-women-multicolor-top/p/itm7999a8ec7b3d0?pid=TOPGSBA3THXFVEUD&lid=LSTTOPGSBA3THXFVEUDWCD2LP&marketplace=FLIPKART&q=tops+for+women+wear&store=clo%2Fash%2Fohw%2F36j&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=631dda1d-960a-4a19-83c0-b8ad0980b8e8.TOPGSBA3THXFVEUD.SEARCH&ppt=None&ppn=None&ssid=d3u54th4z40000001692719369778&qH=26c2838b3aeb0a75,"['BLACK', 'WHITE']","['S', 'M']","['https://rukminim2.flixcart.com/image/128/128/xif0q/top/s/g/i/m-black-check-top-arham-original-imagqsugqypnezme.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/n/v/y/m-black-check-top-arham-original-imagqsugsan8nqss.jpeg?q=70']"
Casual Regular Sleeves Striped Women Maroon Top,https://www.flipkart.com/fashion2wear-casual-striped-women-maroon-top/p/itm532c104b30ef7?pid=TOPGC3Y7XZ6UHYZH&lid=LSTTOPGC3Y7XZ6UHYZHHXHPW0&marketplace=FLIPKART&q=tops+for+women+wear&store=clo%2Fash%2Fohw%2F36j&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=en_X5JcuG1KDYCoOy9IkYSHId51s8d9fYsCfm72lfe2rnivzM7syO-RMkF4JtK1sAtLzLNgFwPf1a-cKmaHUkyrhA%3D%3D&ppt=None&ppn=None&ssid=d3u54th4z40000001692719369778&qH=26c2838b3aeb0a75,"['Black', 'Blue', 'Maroon', 'Peach', 'Pista', 'Red']","['S', 'M', 'L', 'XL']","['https://rukminim2.flixcart.com/image/128/128/l09w8sw0/top/k/i/b/m-tipsy-632-maroon-fashion2wear-original-imagc3y7zu3uvhun.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/l09w8sw0/top/p/c/v/m-tipsy-632-maroon-fashion2wear-original-imagc3y7d4buzbgj.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/l09w8sw0/top/d/1/6/m-tipsy-632-maroon-fashion2wear-original-imagc3y7dcq2gw3h.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/l09w8sw0/top/s/j/f/m-tipsy-632-maroon-fashion2wear-original-imagc3y78aexfmky.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/l09w8sw0/top/w/8/b/m-tipsy-632-maroon-fashion2wear-original-imagc3y7hqqycsuk.jpeg?q=70']"
Casual Regular Sleeves Solid Women Brown Top,https://www.flipkart.com/swaggish-casual-solid-women-brown-top/p/itmdf3de4a6a2722?pid=TOPGJUYMM4TGCAVP&lid=LSTTOPGJUYMM4TGCAVPVOX5AO&marketplace=FLIPKART&q=tops+for+women+wear&store=clo%2Fash%2Fohw%2F36j&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=631dda1d-960a-4a19-83c0-b8ad0980b8e8.TOPGJUYMM4TGCAVP.SEARCH&ppt=None&ppn=None&ssid=d3u54th4z40000001692719369778&qH=26c2838b3aeb0a75,"['BLACK', 'Brown', 'Dark Green', 'Lavender', 'Maroon', 'Peach']","['S', 'M', 'L', 'XL']","['https://rukminim2.flixcart.com/image/128/128/xif0q/top/u/k/4/m-coller-tops-style-prezone-original-imagjuvvhzxhmf4y.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/i/s/e/m-coller-tops-style-prezone-original-imagjuvvgfhnghjz.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/w/n/x/m-coller-tops-style-prezone-original-imagjuvvpsznddzf.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/u/8/i/m-coller-tops-style-prezone-original-imagjuvvzbfqk9dd.jpeg?q=70']"
Casual Puff Sleeves Solid Women Black Top,https://www.flipkart.com/sheetal-associates-casual-solid-women-black-top/p/itmd0c21606e6ff9?pid=TOPGJTFTYQTTP7N6&lid=LSTTOPGJTFTYQTTP7N6CQKRES&marketplace=FLIPKART&q=tops+for+women+wear&store=clo%2Fash%2Fohw%2F36j&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_na&fm=organic&iid=631dda1d-960a-4a19-83c0-b8ad0980b8e8.TOPGJTFTYQTTP7N6.SEARCH&ppt=None&ppn=None&ssid=d3u54th4z40000001692719369778&qH=26c2838b3aeb0a75,"['Black', 'Black2', 'Black3']","['XS', 'S', 'M', 'L', 'XL', 'XXL']","['https://rukminim2.flixcart.com/image/128/128/xif0q/top/d/6/i/s-4261-sheetal-associates-original-imagjtft5jrzgwph.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/h/e/n/s-4261-sheetal-associates-original-imagjtftbchfwbu5.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/q/h/1/s-4261-sheetal-associates-original-imagjtftsck9cvyy.jpeg?q=70', 'https://rukminim2.flixcart.com/image/128/128/xif0q/top/t/9/r/s-4261-sheetal-associates-original-imagjtftvypzd7fw.jpeg?q=70']"
